dataset,dates,6th,13th,location,diff613
traffic,"1990, July",139246,138548,7 to 8,698
traffic,"1990, July",134012,132908,9 to 10,1104
traffic,"1991, September",137055,136018,7 to 8,1037
traffic,"1991, September",133732,131843,9 to 10,1889
traffic,"1991, December",123552,121641,7 to 8,1911
traffic,"1991, December",121139,118723,9 to 10,2416
traffic,"1992, March",128293,125532,7 to 8,2761
traffic,"1992, March",124631,120249,9 to 10,4382
traffic,"1992, November",124609,122770,7 to 8,1839
traffic,"1992, November",117584,117263,9 to 10,321
shopping,"1990, July",4942,4882,Epsom,60
shopping,"1991, September",4895,4736,Epsom,159
shopping,"1991, December",4805,4784,Epsom,21
shopping,"1992, March",4570,4603,Epsom,-33
shopping,"1992, November",4506,4629,Epsom,-123
shopping,"1990, July",6754,6998,Guildford,-244
shopping,"1991, September",6704,6707,Guildford,-3
shopping,"1991, December",5871,5662,Guildford,209
shopping,"1992, March",6026,6162,Guildford,-136
shopping,"1992, November",5676,5665,Guildford,11
shopping,"1990, July",3685,3848,Dorking,-163
shopping,"1991, September",3799,3680,Dorking,119
shopping,"1991, December",3563,3554,Dorking,9
shopping,"1992, March",3673,3676,Dorking,-3
shopping,"1992, November",3558,3613,Dorking,-55
shopping,"1990, July",5751,5993,Chichester,-242
shopping,"1991, September",5367,5320,Chichester,47
shopping,"1991, December",4949,4960,Chichester,-11
shopping,"1992, March",5298,5467,Chichester,-169
shopping,"1992, November",5199,5092,Chichester,107
shopping,"1990, July",4141,4389,Horsham,-248
shopping,"1991, September",3674,3660,Horsham,14
shopping,"1991, December",3707,3822,Horsham,-115
shopping,"1992, March",3633,3730,Horsham,-97
shopping,"1992, November",3688,3615,Horsham,73
shopping,"1990, July",4266,4532,East Grinstead,-266
shopping,"1991, September",3954,3964,East Grinstead,-10
shopping,"1991, December",4028,3926,East Grinstead,102
shopping,"1992, March",3689,3692,East Grinstead,-3
shopping,"1992, November",3920,3853,East Grinstead,67
shopping,"1990, July",7138,6836,Lewisham,302
shopping,"1991, September",6568,6363,Lewisham,205
shopping,"1991, December",6514,6555,Lewisham,-41
shopping,"1992, March",6115,6412,Lewisham,-297
shopping,"1992, November",5325,6099,Lewisham,-774
shopping,"1990, July",6502,6648,Nine Elms,-146
shopping,"1991, September",6416,6398,Nine Elms,18
shopping,"1991, December",6422,6503,Nine Elms,-81
shopping,"1992, March",6748,6716,Nine Elms,32
shopping,"1992, November",7023,7057,Nine Elms,-34
shopping,"1990, July",4083,4277,Crystal Palace,-194
shopping,"1991, September",4107,4334,Crystal Palace,-227
shopping,"1991, December",4168,4050,Crystal Palace,118
shopping,"1992, March",4174,4198,Crystal Palace,-24
shopping,"1992, November",4079,4105,Crystal Palace,-26
accident,"1989, October",9,13,SWTRHA hospital,-4
accident,"1990, July",6,12,SWTRHA hospital,-6
accident,"1991, September",11,14,SWTRHA hospital,-3
accident,"1991, December",11,10,SWTRHA hospital,1
accident,"1992, March",3,4,SWTRHA hospital,-1
accident,"1992, November",5,12,SWTRHA hospital,-7
