""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2015"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Nevada","547.4","g","1,426.7","g","1,974.1","g","135.8","g","1.3","g","2.9","g"
"Florida","525.1","g","1,460.4","g","1,985.5","g","872.4","g","2.3","g","20.2","g"
"Idaho","697.9","g","1,339.4","g","2,037.3","g","66.3","g","2.2","g","1.7","g"
"Arizona","723.5","g","1,446.7","g","2,170.2","g","292.6","g","1.5","g","6.8","g"
"South Carolina","1,054.2","g","1,158.5","g","2,212.7","g","197.0","g","2.0","g","4.9","g"
"Hawaii","2,366.4","g","-39.0","g","2,327.5","g","79.5","g","1.1","g","1.4","g"
"Tennessee","899.9","g","1,506.3","g","2,406.2","g","309.9","g","1.7","g","6.6","g"
"Michigan","1,017.3","g","1,397.9","g","2,415.2","g","466.2","g","1.8","g","9.9","g"
"South Dakota","786.1","g","1,655.6","g","2,441.7","g","47.0","g","1.0","g","0.9","g"
"Georgia","825.1","g","1,762.0","g","2,587.1","g","493.4","g","2.0","g","10.2","g"
"All states combined","885.6","g","1,711.0","g","2,596.6","g","17,985.0","e","2.1","e","321.2","g"
"Montana","937.4","g","1,693.5","g","2,630.9","g","45.5","g","1.7","g","1.0","g"
"Colorado","1,005.2","g","1,629.5","g","2,634.7","g","321.3","g","3.5","g","5.4","g"
"Indiana","1,049.0","g","1,598.5","g","2,647.5","g","324.9","g","0.9","g","6.6","g"
"Missouri","847.7","g","1,830.7","g","2,678.4","g","291.9","g","1.2","g","6.1","g"
"Mississippi","897.0","g","1,793.8","g","2,690.9","g","106.3","g","0.0","g","3.0","g"
"Ohio","744.2","g","2,021.5","g","2,765.8","g","601.3","g","1.9","g","11.6","g"
"Oklahoma","1,120.8","g","1,647.9","g","2,768.7","g","189.6","g","2.3","g","3.9","g"
"Oregon","935.0","g","1,877.0","g","2,812.1","g","224.5","g","2.8","g","4.0","g"
"Louisiana","946.3","g","1,869.2","g","2,815.5","g","256.7","g","1.8","g","4.7","g"
"California","790.7","g","2,034.6","g","2,825.4","g","2,394.7","g","2.3","g","39.2","g"
"Arkansas","1,095.2","g","1,759.5","g","2,854.7","g","124.3","g","1.1","g","3.0","g"
"Kentucky","1,282.4","g","1,616.4","g","2,898.8","g","193.5","g","1.2","g","4.4","g"
"Pennsylvania","873.8","g","2,058.6","g","2,932.4","g","683.0","g","1.7","g","12.8","g"
"Kansas","865.7","g","2,085.5","g","2,951.3","g","151.3","g","1.7","g","2.9","g"
"Illinois","692.0","g","2,259.3","g","2,951.3","g","765.8","g","1.4","g","12.9","g"
"Washington","1,157.8","g","1,810.7","g","2,968.5","g","443.5","g","2.5","g","7.2","g"
"Virginia","1,095.2","g","1,874.5","g","2,969.7","g","473.3","g","0.7","g","8.4","g"
"North Carolina","1,019.7","g","1,989.0","g","3,008.7","g","497.6","g","1.5","g","10.0","g"
"Alabama","1,357.3","g","1,703.3","g","3,060.7","g","204.2","g","1.1","g","4.9","g"
"Maryland","802.3","g","2,292.7","g","3,095.0","g","357.6","g","1.2","g","6.0","g"
"Massachusetts","972.1","g","2,150.1","g","3,122.2","g","475.7","g","2.0","g","6.8","g"
"Maine","753.2","g","2,410.7","g","3,164.0","g","57.1","g","0.8","g","1.3","g"
"New Hampshire","939.0","g","2,229.0","g","3,168.1","g","74.0","g","2.0","g","1.3","g"
"New Mexico","1,208.2","g","1,963.3","g","3,171.5","g","95.1","g","1.3","g","2.1","g"
"Minnesota","1,172.1","g","2,052.6","g","3,224.7","g","324.7","g","1.5","g","5.5","g"
"Texas","891.1","g","2,368.3","g","3,259.4","g","1,721.2","g","3.8","g","27.4","g"
"West Virginia","1,361.2","g","1,900.7","g","3,261.9","g","79.1","g","3.8","g","1.8","g"
"Wisconsin","1,117.3","g","2,148.8","g","3,266.1","g","300.7","g","1.3","g","5.8","g"
"Rhode Island","1,116.6","g","2,194.0","g","3,310.6","g","56.5","g","1.4","g","1.1","g"
"Utah","1,647.6","g","1,716.2","g","3,363.8","g","146.8","g","2.5","g","3.0","g"
"Nebraska","1,111.2","g","2,322.5","g","3,433.7","g","114.9","g","1.1","g","1.9","g"
"Iowa","1,116.7","g","2,358.4","g","3,475.1","g","174.6","g","0.9","g","3.1","g"
"District of Columbia","-93.0","g","3,659.2","g","3,566.2","g","118.9","g","1.6","g","0.7","g"
"Connecticut","988.3","g","2,650.4","g","3,638.6","g","259.2","g","1.0","g","3.6","g"
"New York","673.1","g","3,080.3","g","3,753.4","g","1,457.0","g","2.2","g","19.8","g"
"North Dakota","1,776.4","g","2,187.0","g","3,963.4","g","58.3","g","4.5","g","0.8","g"
"Vermont","1,495.8","g","2,501.1","g","3,996.9","g","30.4","g","1.0","g","0.6","g"
"New Jersey","1,099.6","g","2,979.1","g","4,078.7","g","561.5","g","0.9","g","9.0","g"
"Delaware","1,957.2","g","2,248.7","g","4,205.9","g","64.5","g","1.3","g","0.9","g"
"Wyoming","1,187.5","g","3,424.6","g","4,612.1","g","46.1","g","3.8","g","0.6","g"
"Alaska","2,493.5","g","2,653.3","g","5,146.8","g","57.6","g","-0.1","g","0.7","g"

"Legend:"
" e - out-year estimate in US budget"
" g - 'guesstimated' projection by usgovernmentspending.com"
