Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
"Management, professional, and related occupations","48,808","1,246","23,685","1,468","25,123","1,078"
"Management, business, and financial operations occupations","19,863","1,355","10,668","1,537","9,195","1,168"
Management occupations,"13,477","1,429","7,754","1,585","5,724","1,236"
Chief executives,"1,098","2,291",790,"2,488",307,"1,736"
General and operations managers,939,"1,338",656,"1,427",283,"1,139"
Legislators,14,NA,10,NA,4,NA
Advertising and promotions managers,39,NA,23,NA,16,NA
Marketing and sales managers,963,"1,567",517,"1,852",447,"1,362"
Public relations and fundraising managers,61,"1,415",18,NA,43,NA
Administrative services managers,147,"1,215",101,"1,266",46,NA
Computer and information systems managers,601,"1,877",448,"1,920",153,"1,727"
Financial managers,"1,158","1,466",495,"1,784",663,"1,262"
Compensation and benefits managers,21,NA,5,NA,16,NA
Human resources managers,294,"1,381",73,"1,761",221,"1,330"
Training and development managers,52,"1,448",21,NA,31,NA
Industrial production managers,243,"1,465",188,"1,573",55,"1,296"
Purchasing managers,222,"1,362",123,"1,431",99,"1,229"
"Transportation, storage, and distribution managers",269,"1,131",226,"1,138",43,NA
"Farmers, ranchers, and other agricultural managers",119,945,99,"1,010",21,NA
Construction managers,625,"1,431",572,"1,467",53,"1,202"
Education administrators,857,"1,381",294,"1,563",563,"1,245"
Architectural and engineering managers,149,"2,226",131,"2,285",19,NA
Food service managers,827,809,420,922,407,708
Funeral service managers,0,NA,0,NA,0,NA
Gaming managers,23,NA,15,NA,8,NA
Lodging managers,112,955,48,NA,64,920
Medical and health services managers,567,"1,408",149,"1,729",418,"1,331"
Natural sciences managers,8,NA,4,NA,4,NA
Postmasters and mail superintendents,22,NA,8,NA,15,NA
"Property, real estate, and community association managers",390,"1,018",181,"1,148",208,927
Social and community service managers,363,"1,141",112,"1,336",251,"1,057"
Emergency management directors,9,NA,6,NA,3,NA
"Managers, all other","3,285","1,525","2,022","1,628","1,263","1,341"
Business and financial operations occupations,"6,385","1,216","2,914","1,383","3,471","1,105"
"Agents and business managers of artists, performers, and athletes",31,NA,13,NA,18,NA
"Buyers and purchasing agents, farm products",10,NA,7,NA,3,NA
"Wholesale and retail buyers, except farm products",147,878,82,878,65,880
"Purchasing agents, except wholesale, retail, and farm products",223,"1,160",121,"1,209",102,"1,032"
"Claims adjusters, appraisers, examiners, and investigators",334,998,145,"1,167",189,913
Compliance officers,278,"1,296",129,"1,450",149,"1,165"
Cost estimators,109,"1,165",95,"1,208",14,NA
Human resources workers,620,"1,161",190,"1,328",429,"1,107"
"Compensation, benefits, and job analysis specialists",48,NA,17,NA,31,NA
Training and development specialists,111,"1,092",47,NA,64,"1,086"
Logisticians,127,"1,019",81,"1,131",46,NA
Management analysts,635,"1,532",356,"1,642",279,"1,437"
"Meeting, convention, and event planners",89,"1,002",21,NA,69,"1,006"
Fundraisers,82,"1,262",22,NA,60,"1,168"
Market research analysts and marketing specialists,299,"1,246",125,"1,503",174,"1,148"
"Business operations specialists, all other",223,"1,150",95,"1,234",127,"1,072"
Accountants and auditors,"1,615","1,209",646,"1,404",969,"1,108"
Appraisers and assessors of real estate,47,NA,24,NA,22,NA
Budget analysts,52,"1,351",17,NA,35,NA
Credit analysts,27,NA,12,NA,14,NA
Financial analysts,261,"1,470",138,"1,599",122,"1,197"
Personal financial advisors,414,"1,473",268,"1,647",146,"1,207"
Insurance underwriters,122,"1,268",51,"1,413",71,"1,032"
Financial examiners,11,NA,2,NA,9,NA
Credit counselors and loan officers,332,"1,168",155,"1,443",177,948
"Tax examiners and collectors, and revenue agents",42,NA,13,NA,29,NA
Tax preparers,62,"1,028",26,NA,36,NA
"Financial specialists, all other",35,NA,13,NA,22,NA
Professional and related occupations,"28,945","1,176","13,017","1,425","15,929","1,024"
Computer and mathematical occupations,"4,755","1,539","3,571","1,604","1,184","1,345"
Computer and information research scientists,20,NA,16,NA,4,NA
Computer systems analysts,580,"1,521",358,"1,647",222,"1,246"
Information security analysts,93,"1,635",75,"1,625",18,NA
Computer programmers,428,"1,591",338,"1,662",91,"1,445"
"Software developers, applications and systems software","1,611","1,864","1,283","1,894",327,"1,644"
Web developers,164,"1,333",115,"1,418",49,NA
Computer support specialists,516,"1,085",376,"1,114",140,"1,015"
Database administrators,108,"1,493",67,"1,573",40,NA
Network and computer systems administrators,192,"1,430",155,"1,478",37,NA
Computer network architects,112,"1,765",102,"1,771",10,NA
"Computer occupations, all other",678,"1,226",548,"1,238",131,"1,208"
Actuaries,35,NA,24,NA,11,NA
Mathematicians,3,NA,2,NA,1,NA
Operations research analysts,125,"1,418",66,"1,566",58,"1,299"
Statisticians,85,"1,437",41,NA,43,NA
Miscellaneous mathematical science occupations,5,NA,3,NA,2,NA
Architecture and engineering occupations,"2,994","1,484","2,541","1,528",453,"1,259"
"Architects, except naval",170,"1,464",118,"1,538",52,"1,301"
"Surveyors, cartographers, and photogrammetrists",35,NA,28,NA,7,NA
Aerospace engineers,145,"1,788",129,"1,836",16,NA
Agricultural engineers,5,NA,5,NA,0,NA
Biomedical engineers,12,NA,11,NA,1,NA
Chemical engineers,65,"1,858",57,"1,858",8,NA
Civil engineers,410,"1,495",346,"1,551",63,"1,282"
