Prenatal,Expenditure                                                                                                                                                                                                                                           
47.9,9.6                                                                                                                                                                                                                                                       
54.6,3.7                                                                                                                                                                                                                                                       
93.7,5.2                                                                                                                                                                                                                                                       
84.7,5.2                                                                                                                                                                                                                                                       
100,10                                                                                                                                                                                                                                                         
42.5,4.7                                                                                                                                                                                                                                                       
96.4,4.8                                                                                                                                                                                                                                                       
77.1,6                                                                                                                                                                                                                                                         
58.3,5.4                                                                                                                                                                                                                                                       
95.4,4.8                                                                                                                                                                                                                                                       
78,4.1                                                                                                                                                                                                                                                         
93.3,6                                                                                                                                                                                                                                                         
93.3,9.5                                                                                                                                                                                                                                                       
93.7,6.8                                                                                                                                                                                                                                                       
89.8,6.1                                                                                                                                                                                                                                                       
