Individual	locations
1	Urban                                                                                                                                                                                                                  
2	Urban                                                                                                                                                                                                                  
3	Urban                                                                                                                                                                                                                  
4	Urban                                                                                                                                                                                                                  
5	Urban                                                                                                                                                                                                                  
6	Urban                                                                                                                                                                                                                  
7	Urban                                                                                                                                                                                                                  
8	Urban                                                                                                                                                                                                                  
9	Urban                                                                                                                                                                                                                  
10	Urban                                                                                                                                                                                                                  
11	Urban                                                                                                                                                                                                                  
12	Urban                                                                                                                                                                                                                  
13	Urban                                                                                                                                                                                                                  
14	Urban                                                                                                                                                                                                                  
15	Urban                                                                                                                                                                                                                  
16	Urban                                                                                                                                                                                                                  
17	Urban                                                                                                                                                                                                                  
18	Urban                                                                                                                                                                                                                  
19	Urban                                                                                                                                                                                                                  
20	Urban                                                                                                                                                                                                                  
21	Urban                                                                                                                                                                                                                  
22	Urban                                                                                                                                                                                                                  
23	Urban                                                                                                                                                                                                                  
24	Urban                                                                                                                                                                                                                  
25	Urban                                                                                                                                                                                                                  
26	Urban                                                                                                                                                                                                                  
27	Urban                                                                                                                                                                                                                  
28	Urban                                                                                                                                                                                                                  
29	Urban                                                                                                                                                                                                                  
30	Urban                                                                                                                                                                                                                  
31	Urban                                                                                                                                                                                                                  
32	Urban                                                                                                                                                                                                                  
33	Urban                                                                                                                                                                                                                  
34	Urban                                                                                                                                                                                                                  
35	Urban                                                                                                                                                                                                                  
36	Urban                                                                                                                                                                                                                  
37	Urban                                                                                                                                                                                                                  
38	Urban                                                                                                                                                                                                                  
39	Urban                                                                                                                                                                                                                  
40	Urban                                                                                                                                                                                                                  
41	Urban                                                                                                                                                                                                                  
42	Urban                                                                                                                                                                                                                  
43	Urban                                                                                                                                                                                                                  
44	Urban                                                                                                                                                                                                                  
45	Urban                                                                                                                                                                                                                  
46	Urban                                                                                                                                                                                                                  
47	Urban                                                                                                                                                                                                                  
48	Urban                                                                                                                                                                                                                  
49	Urban                                                                                                                                                                                                                  
50	Urban                                                                                                                                                                                                                  
51	Urban                                                                                                                                                                                                                  
52	Urban                                                                                                                                                                                                                  
53	Urban                                                                                                                                                                                                                  
54	Urban                                                                                                                                                                                                                  
55	Urban                                                                                                                                                                                                                  
56	Urban                                                                                                                                                                                                                  
57	Urban                                                                                                                                                                                                                  
58	Urban                                                                                                                                                                                                                  
59	Urban                                                                                                                                                                                                                  
60	Urban                                                                                                                                                                                                                  
61	Urban                                                                                                                                                                                                                  
62	Urban                                                                                                                                                                                                                  
63	Urban                                                                                                                                                                                                                  
64	Urban                                                                                                                                                                                                                  
65	Urban                                                                                                                                                                                                                  
66	Urban                                                                                                                                                                                                                  
67	Urban                                                                                                                                                                                                                  
68	Urban                                                                                                                                                                                                                  
69	Urban                                                                                                                                                                                                                  
70	Urban                                                                                                                                                                                                                  
71	Urban                                                                                                                                                                                                                  
72	Urban                                                                                                                                                                                                                  
73	Urban                                                                                                                                                                                                                  
74	Urban                                                                                                                                                                                                                  
75	Urban                                                                                                                                                                                                                  
76	Urban                                                                                                                                                                                                                  
77	Urban                                                                                                                                                                                                                  
78	Urban                                                                                                                                                                                                                  
79	Urban                                                                                                                                                                                                                  
80	Urban                                                                                                                                                                                                                  
81	Urban                                                                                                                                                                                                                  
82	Urban                                                                                                                                                                                                                  
83	Urban                                                                                                                                                                                                                  
84	Urban                                                                                                                                                                                                                  
85	Urban                                                                                                                                                                                                                  
86	Urban                                                                                                                                                                                                                  
87	Urban                                                                                                                                                                                                                  
88	Urban                                                                                                                                                                                                                  
89	Urban                                                                                                                                                                                                                  
90	Urban                                                                                                                                                                                                                  
91	Urban                                                                                                                                                                                                                  
92	Urban                                                                                                                                                                                                                  
93	Urban                                                                                                                                                                                                                  
94	Urban                                                                                                                                                                                                                  
95	Urban                                                                                                                                                                                                                  
96	Urban                                                                                                                                                                                                                  
97	Urban                                                                                                                                                                                                                  
98	Urban                                                                                                                                                                                                                  
99	Urban                                                                                                                                                                                                                  
100	Urban                                                                                                                                                                                                                  
101	Urban                                                                                                                                                                                                                  
102	Urban                                                                                                                                                                                                                  
103	Urban                                                                                                                                                                                                                  
104	Urban                                                                                                                                                                                                                  
105	Urban                                                                                                                                                                                                                  
106	Urban                                                                                                                                                                                                                  
107	Urban                                                                                                                                                                                                                  
108	Urban                                                                                                                                                                                                                  
109	Urban                                                                                                                                                                                                                  
110	Urban                                                                                                                                                                                                                  
