run_up,plant
1.2,Plant_1
10.1,Plant_1
-2,Plant_1
1.5,Plant_1
-3,Plant_1
-0.7,Plant_1
3.2,Plant_1
2.7,Plant_1
-3.2,Plant_1
-1.7,Plant_1
2.4,Plant_1
0.3,Plant_1
3.5,Plant_1
-0.8,Plant_1
19.4,Plant_1
2.8,Plant_1
13,Plant_1
42.7,Plant_1
1.4,Plant_1
3,Plant_1
2.4,Plant_1
1.3,Plant_1
16.4,Plant_2
-6,Plant_2
-11.6,Plant_2
-1.3,Plant_2
4,Plant_2
17,Plant_2
3.8,Plant_2
4.3,Plant_2
10.4,Plant_2
4.2,Plant_2
8.5,Plant_2
6.3,Plant_2
9,Plant_2
7.1,Plant_2
4.3,Plant_2
19.7,Plant_2
3,Plant_2
7.6,Plant_2
70.2,Plant_2
8.5,Plant_2
6,Plant_2
2.9,Plant_2
12.1,Plant_3
9.7,Plant_3
7.4,Plant_3
-2.1,Plant_3
10.1,Plant_3
4.7,Plant_3
4.6,Plant_3
3.9,Plant_3
3.6,Plant_3
9.6,Plant_3
9.8,Plant_3
6.5,Plant_3
5.7,Plant_3
5.1,Plant_3
3.4,Plant_3
-0.8,Plant_3
-3.9,Plant_3
0.9,Plant_3
1.5,Plant_3
11.5,Plant_4
10.2,Plant_4
3.8,Plant_4
8.3,Plant_4
6.6,Plant_4
10.2,Plant_4
8.8,Plant_4
2.7,Plant_4
5.1,Plant_4
11.2,Plant_4
5.9,Plant_4
13,Plant_4
6.8,Plant_4
14.5,Plant_4
5.2,Plant_4
7.3,Plant_4
7.1,Plant_4
3.4,Plant_4
0.7,Plant_4
24,Plant_5
-3.7,Plant_5
8.2,Plant_5
9.2,Plant_5
-9.3,Plant_5
8,Plant_5
15.8,Plant_5
22.3,Plant_5
3.1,Plant_5
16.8,Plant_5
11.3,Plant_5
12.3,Plant_5
16.9,Plant_5
