"Per Capita Public Expenditure on Health (US$)"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Afghanistan,Country,2009,Currency,$11,
Albania,Country,2009,Currency,$108,
Algeria,Country,2009,Currency,$154,
Andorra,Country,2009,Currency,"$2,105",
Angola,Country,2009,Currency,$181,
Antigua and Barbuda,Country,2009,Currency,$488,
Argentina,Country,2009,Currency,$485,
Armenia,Country,2009,Currency,$56,
Australia,Country,2009,Currency,"$2,711",
Austria,Country,2009,Currency,"$3,753",
Azerbaijan,Country,2009,Currency,$67,
Bahamas,Country,2009,Currency,$701,
Bahrain,Country,2009,Currency,$761,
Bangladesh,Country,2009,Currency,$6,
Barbados,Country,2009,Currency,$670,
Belarus,Country,2009,Currency,$208,
Belgium,Country,2009,Currency,"$3,489",
Belize,Country,2009,Currency,$159,
Benin,Country,2009,Currency,$18,
Bhutan,Country,2009,Currency,$80,
Bolivia,Country,2009,Currency,$58,
Bosnia-Herzegovina,Country,2009,Currency,$304,
Botswana,Country,2009,Currency,$489,
Brazil,Country,2009,Currency,$335,
Brunei,Country,2009,Currency,$673,
Bulgaria,Country,2009,Currency,$229,
Burkina Faso,Country,2009,Currency,$23,
Burundi,Country,2009,Currency,$9,
Cambodia,Country,2009,Currency,$9,
Cameroon,Country,2009,Currency,$17,
Canada,Country,2009,Currency,"$3,009",
Cape Verde,Country,2009,Currency,$108,
Central African Republic,Country,2009,Currency,$7,
Chad,Country,2009,Currency,$23,
Channel Islands,Country,2009,Currency,-,1
Chile,Country,2009,Currency,$377,
China,Country,2009,Currency,$85,
Colombia,Country,2009,Currency,$272,
Comoros,Country,2009,Currency,$17,
Congo,Country,2009,Currency,$38,
"Congo, Dem. Rep. of",Country,2009,Currency,$1,
Costa Rica,Country,2009,Currency,$451,
Cote d'Ivoire,Country,2009,Currency,$12,
Croatia,Country,2009,Currency,$951,
Cuba,Country,2009,Currency,$626,
Cyprus,Country,2009,Currency,$720,
Czech Republic,Country,2009,Currency,"$1,110",
Denmark,Country,2009,Currency,"$5,024",
Djibouti,Country,2009,Currency,$65,
Dominica,Country,2009,Currency,$231,
Dominican Republic,Country,2009,Currency,$112,
Ecuador,Country,2009,Currency,$124,
Egypt,Country,2009,Currency,$46,
El Salvador,Country,2009,Currency,$138,
Equatorial Guinea,Country,2009,Currency,$616,
Eritrea,Country,2009,Currency,$5,
Estonia,Country,2009,Currency,$758,
Ethiopia,Country,2009,Currency,$7,
Federated States of Micronesia,Country,2009,Currency,$305,
Fiji,Country,2009,Currency,$94,
Finland,Country,2009,Currency,"$3,105",
France,Country,2009,Currency,"$3,674",
French Guiana,Country,2009,Currency,-,1
French Polynesia,Country,2009,Currency,-,1
Gabon,Country,2009,Currency,$128,
Gambia,Country,2009,Currency,$13,
Georgia,Country,2009,Currency,$73,
Germany,Country,2009,Currency,"$3,502",
Ghana,Country,2009,Currency,$28,
Greece,Country,2009,Currency,"$1,905",
Grenada,Country,2009,Currency,$228,
Guadeloupe,Country,2009,Currency,-,1
Guam,Country,2009,Currency,-,1
Guatemala,Country,2009,Currency,$69,
Guinea,Country,2009,Currency,$3,
Guinea-Bissau,Country,2009,Currency,$5,
Guyana,Country,2009,Currency,$119,
Haiti,Country,2009,Currency,$9,
Honduras,Country,2009,Currency,$67,
"Hong Kong, SAR",Country,2009,Currency,-,1
Hungary,Country,2009,Currency,$661,
Iceland,Country,2009,Currency,"$2,575",
India,Country,2009,Currency,$15,
Indonesia,Country,2009,Currency,$29,
Iran,Country,2009,Currency,$105,
Iraq,Country,2009,Currency,$71,
Ireland,Country,2009,Currency,"$3,940",
Israel,Country,2009,Currency,"$1,158",
Italy,Country,2009,Currency,"$2,573",
Jamaica,Country,2009,Currency,$129,
Japan,Country,2009,Currency,"$2,657",
Jordan,Country,2009,Currency,$217,
Kazakhstan,Country,2009,Currency,$195,
Kenya,Country,2009,Currency,$11,
Kiribati,Country,2009,Currency,$134,
"Korea, North",Country,2009,Currency,-,1
"Korea, South",Country,2009,Currency,$600,
Kosovo,Country,2009,Currency,-,1
Kuwait,Country,2009,Currency,"$1,189",
Kyrgyzstan,Country,2009,Currency,$29,
Laos,Country,2009,Currency,$7,
Latvia,Country,2009,Currency,$454,
Lebanon,Country,2009,Currency,$326,
