Population Living Below US$2 per Day                                                                                                                                                                                                                           
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                                                                      
Afghanistan,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                      
Albania,Country,2000-2009,Percent,4%,                                                                                                                                                                                                                          
Algeria,Country,2000-2009,Percent,24%,2                                                                                                                                                                                                                        
Andorra,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Angola,Country,2000-2009,Percent,70%,                                                                                                                                                                                                                          
Antigua and Barbuda,Country,2000-2009,Percent,-,1                                                                                                                                                                                                              
Argentina,Country,2000-2009,Percent,1%,                                                                                                                                                                                                                        
Armenia,Country,2000-2009,Percent,12%,                                                                                                                                                                                                                         
Australia,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                        
Austria,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Azerbaijan,Country,2000-2009,Percent,8%,                                                                                                                                                                                                                       
Bahamas,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Bahrain,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Bangladesh,Country,2000-2009,Percent,81%,                                                                                                                                                                                                                      
Barbados,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                         
Belarus,Country,2000-2009,Percent,1%,                                                                                                                                                                                                                          
Belgium,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Belize,Country,2000-2009,Percent,24%,2                                                                                                                                                                                                                         
Benin,Country,2000-2009,Percent,75%,                                                                                                                                                                                                                           
Bhutan,Country,2000-2009,Percent,50%,                                                                                                                                                                                                                          
Bolivia,Country,2000-2009,Percent,25%,                                                                                                                                                                                                                         
Bosnia-Herzegovina,Country,2000-2009,Percent,1%,                                                                                                                                                                                                               
Botswana,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                         
Brazil,Country,2000-2009,Percent,10%,                                                                                                                                                                                                                          
Brunei,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                           
Bulgaria,Country,2000-2009,Percent,7%,                                                                                                                                                                                                                         
Burkina Faso,Country,2000-2009,Percent,81%,                                                                                                                                                                                                                    
Burundi,Country,2000-2009,Percent,94%,                                                                                                                                                                                                                         
Cambodia,Country,2000-2009,Percent,57%,                                                                                                                                                                                                                        
Cameroon,Country,2000-2009,Percent,31%,                                                                                                                                                                                                                        
Canada,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                           
Cape Verde,Country,2000-2009,Percent,40%,                                                                                                                                                                                                                      
Central African Republic,Country,2000-2009,Percent,82%,                                                                                                                                                                                                        
Chad,Country,2000-2009,Percent,83%,                                                                                                                                                                                                                            
Channel Islands,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                  
Chile,Country,2000-2009,Percent,1%,                                                                                                                                                                                                                            
China,Country,2000-2009,Percent,36%,                                                                                                                                                                                                                           
Colombia,Country,2000-2009,Percent,28%,                                                                                                                                                                                                                        
Comoros,Country,2000-2009,Percent,65%,                                                                                                                                                                                                                         
Congo,Country,2000-2009,Percent,74%,                                                                                                                                                                                                                           
Congo, Dem. Rep. of                                                                                                                                                                                                                                            
Costa Rica,Country,2000-2009,Percent,5%,                                                                                                                                                                                                                       
Cote d'Ivoire,Country,2000-2009,Percent,46%,                                                                                                                                                                                                                   
Croatia,Country,2000-2009,Percent,1%,                                                                                                                                                                                                                          
Cuba,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                             
Cyprus,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                           
Czech Republic,Country,2000-2009,Percent,1%,2                                                                                                                                                                                                                  
Denmark,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                          
Djibouti,Country,2000-2009,Percent,41%,                                                                                                                                                                                                                        
Dominica,Country,2000-2009,Percent,-,1                                                                                                                                                                                                                         
Dominican Republic,Country,2000-2009,Percent,14%,                                                                                                                                                                                                              
Ecuador,Country,2000-2009,Percent,13%,                                                                                                                                                                                                                         
Egypt,Country,2000-2009,Percent,19%,                                                                                                                                                                                                                           
El Salvador,Country,2000-2009,Percent,15%,                                                                                                                                                                                                                     
