DATE,US 
1929-01-01,858
1930-01-01,748
1931-01-01,623
1932-01-01,476
1933-01-01,455
1934-01-01,528
1935-01-01,583
1936-01-01,662
1937-01-01,721
1938-01-01,672
1939-01-01,713
1940-01-01,779
1941-01-01,969.0
1942-01-01,1231
1943-01-01,1485
1944-01-01,1622.0
1945-01-01,1629.0
1946-01-01,1609.0
1947-01-01,1732.0
1948-01-01,1872.0
1949-01-01,1826.0
1950-01-01,1977.0
1951-01-01,2248.0
1952-01-01,2340.0
1953-01-01,2439.0
1954-01-01,2405.0
1955-01-01,2574.0
1956-01-01,2671.0
1957-01-01,2768.0
1958-01-01,2763.0
1959-01-01,2945.0
1960-01-01,3001.0
1961-01-01,3060.0
1962-01-01,3237.0
1963-01-01,3367.0
1964-01-01,3566.0
1965-01-01,3819.0
1966-01-01,4137.0
1967-01-01,4327.0
1968-01-01,4686.0
1969-01-01,5019.0
1970-01-01,5233.0
1971-01-01,5609.0
1972-01-01,6093.0
1973-01-01,6725.0
1974-01-01,7224.0
1975-01-01,7801.0
1976-01-01,8590.0
1977-01-01,9450.0
1978-01-01,10563.0
1979-01-01,11672.0
1980-01-01,12547.0
1981-01-01,13943.0
1982-01-01,14399.0
1983-01-01,15508.0
1984-01-01,17080.0
1985-01-01,18192.0
1986-01-01,19028.0
1987-01-01,19993.0
1988-01-01,21368.0
1989-01-01,22805.0
1990-01-01,23835.0
1991-01-01,24290.0
1992-01-01,25379.0
1993-01-01,26350.0
1994-01-01,27660.0
1995-01-01,28658.0
1996-01-01,29932.0
1997-01-01,31424.0
1998-01-01,32818.0
1999-01-01,34478.0
2000-01-01,36305.0
2001-01-01,37100.0
2002-01-01,37980.0
2003-01-01,39426.0
2004-01-01,41648.0
2005-01-01,44044.0
2006-01-01,46231.0
2007-01-01,47902.0
2008-01-01,48311.0
2009-01-01,47028.0
2010-01-01,48396.0
2011-01-01,49811.0
2012-01-01,51541.0
2013-01-01,53046.0
2014-01-01,54993.0
2015-01-01,56770.0
2016-01-01,57885.0
2017-01-01,59984.0
2018-01-01,62853.0
