"Women Ages 15-19 Giving Birth in One Year"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Afghanistan,Country,2011,Percent,11%,
Albania,Country,2011,Percent,1%,
Algeria,Country,2011,Percent,1%,
Angola,Country,2011,Percent,12%,
Argentina,Country,2011,Percent,5%,
Armenia,Country,2011,Percent,3%,
Australia,Country,2011,Percent,1%,
Austria,Country,2011,Percent,1%,
Azerbaijan,Country,2011,Percent,3%,
Bahamas,Country,2011,Percent,5%,
Bahrain,Country,2011,Percent,2%,
Bangladesh,Country,2011,Percent,6%,
Belarus,Country,2011,Percent,2%,
Belgium,Country,2011,Percent,1%,
Belize,Country,2011,Percent,7%,
Benin,Country,2011,Percent,10%,
Bhutan,Country,2011,Percent,3%,
Bolivia,Country,2011,Percent,7%,
Bosnia-Herzegovina,Country,2011,Percent,1%,
Botswana,Country,2011,Percent,5%,
Brazil,Country,2011,Percent,7%,
Brunei,Country,2011,Percent,2%,
Bulgaria,Country,2011,Percent,4%,
Burkina Faso,Country,2011,Percent,12%,
Burundi,Country,2011,Percent,2%,
Cambodia,Country,2011,Percent,4%,
Cameroon,Country,2011,Percent,12%,
Canada,Country,2011,Percent,1%,
Cape Verde,Country,2011,Percent,8%,
Central African Republic,Country,2011,Percent,9%,
Chad,Country,2011,Percent,15%,
Chile,Country,2011,Percent,6%,
China,Country,2011,Percent,1%,
Colombia,Country,2011,Percent,7%,
Comoros,Country,2011,Percent,4%,
Congo,Country,2011,Percent,10%,
"Congo, Dem. Rep. of",Country,2011,Percent,18%,
Costa Rica,Country,2011,Percent,7%,
Cote d'Ivoire,Country,2011,Percent,11%,
Croatia,Country,2011,Percent,1%,
Cuba,Country,2011,Percent,5%,
Cyprus,Country,2011,Percent,1%,
Czech Republic,Country,2011,Percent,1%,
Denmark,Country,2011,Percent,1%,
Djibouti,Country,2011,Percent,2%,
Dominican Republic,Country,2011,Percent,11%,
Ecuador,Country,2011,Percent,8%,
Egypt,Country,2011,Percent,3%,
El Salvador,Country,2011,Percent,8%,
Equatorial Guinea,Country,2011,Percent,12%,
Eritrea,Country,2011,Percent,6%,
Estonia,Country,2011,Percent,2%,
Ethiopia,Country,2011,Percent,8%,
Federated States of Micronesia,Country,2011,Percent,2%,
Fiji,Country,2011,Percent,3%,
Finland,Country,2011,Percent,1%,
France,Country,2011,Percent,1%,
French Polynesia,Country,2011,Percent,5%,
Gabon,Country,2011,Percent,8%,
Gambia,Country,2011,Percent,9%,
Georgia,Country,2011,Percent,4%,
Germany,Country,2011,Percent,1%,
Ghana,Country,2011,Percent,6%,
Greece,Country,2011,Percent,1%,
Guam,Country,2011,Percent,5%,
Guatemala,Country,2011,Percent,10%,
Guinea,Country,2011,Percent,14%,
Guinea-Bissau,Country,2011,Percent,12%,
Guyana,Country,2011,Percent,6%,
Haiti,Country,2011,Percent,4%,
Honduras,Country,2011,Percent,9%,
"Hong Kong, SAR",Country,2011,Percent,1%,
Hungary,Country,2011,Percent,2%,
Iceland,Country,2011,Percent,1%,
India,Country,2011,Percent,6%,
Indonesia,Country,2011,Percent,4%,
Iran,Country,2011,Percent,2%,
Iraq,Country,2011,Percent,7%,
Ireland,Country,2011,Percent,1%,
Israel,Country,2011,Percent,1%,
Italy,Country,2011,Percent,0%,
Jamaica,Country,2011,Percent,7%,
Japan,Country,2011,Percent,0%,
Jordan,Country,2011,Percent,2%,
Kazakhstan,Country,2011,Percent,3%,
Kenya,Country,2011,Percent,10%,
"Korea, North",Country,2011,Percent,0%,
"Korea, South",Country,2011,Percent,1%,
Kuwait,Country,2011,Percent,1%,
Kyrgyzstan,Country,2011,Percent,3%,
Laos,Country,2011,Percent,3%,
Latvia,Country,2011,Percent,1%,
Lebanon,Country,2011,Percent,2%,
Lesotho,Country,2011,Percent,6%,
Liberia,Country,2011,Percent,13%,
Libya,Country,2011,Percent,0%,
Lithuania,Country,2011,Percent,2%,
Luxembourg,Country,2011,Percent,1%,
Macedonia,Country,2011,Percent,2%,
Madagascar,Country,2011,Percent,12%,
Malawi,Country,2011,Percent,12%,
Malaysia,Country,2011,Percent,1%,
Maldives,Country,2011,Percent,1%,
Mali,Country,2011,Percent,15%,
Malta,Country,2011,Percent,1%,
Mauritania,Country,2011,Percent,7%,
Mauritius,Country,2011,Percent,4%,
Mexico,Country,2011,Percent,6%,
Moldova,Country,2011,Percent,3%,
Mongolia,Country,2011,Percent,1%,
Montenegro,Country,2011,Percent,1%,
Morocco,Country,2011,Percent,2%,
Mozambique,Country,2011,Percent,13%,
Myanmar,Country,2011,Percent,2%,
Namibia,Country,2011,Percent,6%,
Nepal,Country,2011,Percent,8%,
Netherlands,Country,2011,Percent,0%,
New Caledonia,Country,2011,Percent,3%,
New Zealand,Country,2011,Percent,2%,
Nicaragua,Country,2011,Percent,11%,
Niger,Country,2011,Percent,15%,
Nigeria,Country,2011,Percent,11%,
Norway,Country,2011,Percent,1%,
Oman,Country,2011,Percent,1%,
Pakistan,Country,2011,Percent,4%,
Palestinian Territory,Country,2011,Percent,7%,
Panama,Country,2011,Percent,8%,
Papua New Guinea,Country,2011,Percent,5%,
Paraguay,Country,2011,Percent,7%,
Peru,Country,2011,Percent,5%,
Philippines,Country,2011,Percent,4%,
Poland,Country,2011,Percent,1%,
Portugal,Country,2011,Percent,1%,
Puerto Rico,Country,2011,Percent,5%,
Qatar,Country,2011,Percent,2%,
Reunion,Country,2011,Percent,3%,
Romania,Country,2011,Percent,3%,
Russia,Country,2011,Percent,2%,
Rwanda,Country,2011,Percent,3%,
Samoa,Country,2011,Percent,2%,
Sao Tome and Principe,Country,2011,Percent,6%,
Saudi Arabia,Country,2011,Percent,2%,
Senegal,Country,2011,Percent,9%,
Serbia,Country,2011,Percent,2%,
Sierra Leone,Country,2011,Percent,12%,
Singapore,Country,2011,Percent,0%,
Slovakia,Country,2011,Percent,2%,
Slovenia,Country,2011,Percent,0%,
Solomon Islands,Country,2011,Percent,4%,
Somalia,Country,2011,Percent,7%,
South Africa,Country,2011,Percent,5%,
Spain,Country,2011,Percent,1%,
Sri Lanka,Country,2011,Percent,3%,
Sudan,Country,2011,Percent,5%,
Suriname,Country,2011,Percent,4%,
Swaziland,Country,2011,Percent,7%,
Sweden,Country,2011,Percent,1%,
Switzerland,Country,2011,Percent,0%,
Syria,Country,2011,Percent,5%,
Tajikistan,Country,2011,Percent,3%,
Tanzania,Country,2011,Percent,13%,
Thailand,Country,2011,Percent,4%,
Timor-Leste,Country,2011,Percent,5%,
Togo,Country,2011,Percent,6%,
Tonga,Country,2011,Percent,2%,
Trinidad and Tobago,Country,2011,Percent,3%,
Tunisia,Country,2011,Percent,1%,
Turkey,Country,2011,Percent,3%,
Turkmenistan,Country,2011,Percent,2%,
Uganda,Country,2011,Percent,13%,
Ukraine,Country,2011,Percent,3%,
United Arab Emirates,Country,2011,Percent,1%,
United Kingdom,Country,2011,Percent,2%,
United States,Country,2011,Percent,3%,
Uruguay,Country,2011,Percent,6%,
Uzbekistan,Country,2011,Percent,1%,
Vanuatu,Country,2011,Percent,4%,
Venezuela,Country,2011,Percent,9%,
Vietnam,Country,2011,Percent,2%,
Yemen,Country,2011,Percent,6%,
Zambia,Country,2011,Percent,12%,
Zimbabwe,Country,2011,Percent,6%,

