beer,brewery,location,alcohol,calories,carbs
American Amber Lager,Straub Brewery,domestic,0.04,136,10.5
American Lager,Straub Brewery,domestic,0.04,132,10.5
American Light,Straub Brewery,domestic,0.03,96,7.6
Anchor Porter,Anchor,domestic,0.06,209,
Anchor Steam,Anchor,domestic,0.05,153,16
Anheuser Busch Natural Light,Anheuser Busch,domestic,0.04,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,domestic,0.06,157,8.9
Aspen Edge,Adolph Coors,domestic,0.04,94,2.6
Bard’s Gold (Gluten-Free),Bard’s Tale Beer Co,domestic,0.05,155,14.2
Big Sky I.P.A.,Big Sky Brewing,domestic,0.06,195,
Big Sky Moose Drool Brown Ale,Big Sky Brewing,domestic,0.05,177,15.6
Big Sky Powder Hound (seasonal),Big Sky Brewing,domestic,0.06,195,
Big Sky Scape Goat Pale Ale,Big Sky Brewing,domestic,0.05,163,13.9
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,domestic,0.05,154,11.6
Big Sky Trout Slayer Ale,Big Sky Brewing,domestic,0.05,163,13.9
Blatz Beer,Blatz,domestic,0.05,153,12.5
Blue Moon,Adolph Coors,domestic,0.05,171,13.7
Breckenridge Brown Ale,Breckenridge Brewery,domestic,0.06,196,21.9
Breckenridge Red Ale,Breckenridge Brewery,domestic,0.06,193,21.8
Bud Dry,Budweiser,domestic,0.05,130,7.8
Bud Ice,Budweiser,domestic,0.06,123,8.9
Bud Ice Light,Budweiser,domestic,0.05,115,7.5
Bud Light,Budweiser,domestic,0.04,110,6.6
Bud Light Lime,Budweiser,domestic,0.04,116,8
Bud Light Platinum,Budweiser,domestic,0.06,137,4.4
Budweiser,Budweiser,domestic,0.05,145,10.6
Budweiser Black Crown,Budweiser,domestic,0.06,146,10
Budweiser Select,Budweiser,domestic,0.04,99,3.1
Budweiser Select 55,Budweiser,domestic,0.02,55,1.9
Busch Beer,Anheuser Busch,domestic,0.05,133,10.2
Busch Ice,Anheuser Busch,domestic,0.06,169,12.5
