name,manf,age,type,colories,protein,fat,sodium,fiber,carb,sugar,shelf,potassium,vit,weight,serving
100%_Bran,Nabisco,adult,cold,70,4,1,130,10,5,6,3,280,25,1,0.33
100%_Natural_Bran,Quaker_Oats,adult,cold,120,3,5,15,2,8,8,3,135,0,1,-1
All-Bran,Kelloggs,adult,cold,70,4,1,260,9,7,5,3,320,25,1,0.33
All-Bran_with_Extra_Fiber,Kelloggs,adult,cold,50,4,0,140,14,8,0,3,330,25,1,0.5
Almond_Delight,Ralston_Purina,adult,cold,110,2,2,200,1,14,8,3,-1,25,1,0.75
Apple_Cinnamon_Cheerios,General_Mills,child,cold,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75
Apple_Jacks,Kelloggs,child,cold,110,2,0,125,1,11,14,2,30,25,1,1
Basic_4,General_Mills,adult,cold,130,3,2,210,2,18,8,3,100,25,1.33,0.75
Bran_Chex,Ralston_Purina,child,cold,90,2,1,200,4,15,6,1,125,25,1,0.67
Bran_Flakes,Post,adult,cold,90,3,0,210,5,13,5,3,190,25,1,0.67
Cap'n'Crunch,Quaker_Oats,child,cold,120,1,2,220,0,12,12,2,35,25,1,0.75
Cheerios,General_Mills,child,cold,110,6,2,290,2,17,1,1,105,25,1,1.25
Cinnamon_Toast_Crunch,General_Mills,child,cold,120,1,3,210,0,13,9,2,45,25,1,0.75
Clusters,General_Mills,,cold,110,3,2,140,2,13,7,3,105,25,1,0.5
Cocoa_Puffs,General_Mills,child,cold,110,1,1,180,0,12,13,2,55,25,1,1
Corn_Chex,Ralston_Purina,child,cold,110,2,0,280,0,22,3,1,25,25,1,1
Corn_Flakes,Kelloggs,adult,cold,100,2,0,290,1,21,2,1,35,25,1,1
Corn_Pops,Kelloggs,child,cold,110,1,0,90,1,13,12,2,20,25,1,1
Count_Chocula,General_Mills,child,cold,110,1,1,180,0,12,13,2,65,25,1,1
Cracklin'_Oat_Bran,Kelloggs,adult,cold,110,3,3,140,4,10,7,3,160,25,1,0.5
Cream_of_Wheat_(Quick),Nabisco,adult,hot,100,3,0,80,1,21,0,2,-1,0,1,1
Crispix,Kelloggs,child,cold,110,2,0,220,1,21,3,3,30,25,1,1
Crispy_Wheat_&_Raisins,General_Mills,adult,cold,100,2,1,140,2,11,10,3,120,25,1,0.75
Double_Chex,Ralston_Purina,child,cold,100,2,0,190,1,18,5,3,80,25,1,0.75
Froot_Loops,Kelloggs,child,cold,110,2,1,125,1,11,13,2,30,25,1,1
Frosted_Flakes,Kelloggs,child,cold,110,1,0,200,1,14,11,1,25,25,1,0.75
Frosted_Mini-Wheats,Kelloggs,adult,cold,100,3,0,0,3,14,7,2,100,25,1,0.8
Fruit_&_Fibre_Dates,,adult,cold,,,,,,,,,,,,
Fruitful_Bran,Kelloggs,adult,cold,120,3,0,240,5,14,12,3,190,25,1.33,0.67
Fruity_Pebbles,Post,child,cold,110,1,1,135,0,13,12,2,25,25,1,0.75
Golden_Crisp,Post,child,cold,100,2,0,45,0,11,15,1,40,25,1,0.88
Golden_Grahams,General_Mills,child,cold,110,1,1,280,0,15,9,2,45,25,1,0.75
Grape_Nuts_Flakes,Post,adult,cold,100,3,1,140,3,15,5,3,85,25,1,0.88
Grape-Nuts,Post,adult,cold,110,3,0,170,3,17,3,3,90,25,1,0.25
Great_Grains_Pecan,Post,adult,cold,120,3,3,75,3,13,4,3,100,25,1,0.33
Honey_Graham_Ohs,Quaker_Oats,child,cold,120,1,2,220,1,12,11,2,45,25,1,1
