vehicle,gender,distance_campus,ice_cream,rent,major,height,winter
None,Female,1.5,Cookie Dough,724,Environmental and Sustainability Studies,61,Liked it
Mercury,Female,14.7,Sherbet,200,Administrative Justice,60,Don't like it
Ford,Female,2.4,Chocolate Brownie. ,600,Bio Chem,68,Liked it
Toyota,Female,5.2,coffee,0,,66,Loved it
Jeep,Male,2,Cookie Dough,600,Pre-health Careers,71,Loved it
Subaru,Male,5,none,500,Finance,72,No opinion
Hyundai,Male,2,Sherbet,550,Computer Science,72,Liked it
Ford,Female,2,Chocolate,600,psychology and sociology,62,Hated it
Toyota,Male,5,Cookie Dough,640,Computer Information Systems,72,Hated it
Dodge,Male,8,Cookie Dough,550,Business Econ,72,Liked it
Chevrolet,Male,2,Mint CC,480,alternative energy technology,68,Loved it
Subaru,Male,1,Butter Pecan,600,I.T.,75,Loved it
Ford,Female,2.4,Chocolate,600,Bio Chem,68,Liked it
Chevrolet,Female,5,Butter Pecan,500,Dental Hygiene,63,Don't like it
Honda,Female,10,Rocky Road,500,nursing,60,Loved it
Toyota,Male,25,Cookie Dough,200,wildlife law,71,Don't like it
Ford,Female,5,Rocky Road,500,Biology,64,No opinion
Dodge,Female,14,Mint CC,0,Nursing,67,Loved it
Jeep,Female,10,Strawberry and banana ,0,Pre Health,69,Don't like it
Chevrolet,Male,1.6,Vanilla,660,Business Management,74,Loved it
Subaru,Female,0.6,Mint CC,1034,Business,66,Loved it
Jeep,Male,50,Mint CC,400,Mathematics ,5.9,Loved it
Buick,Female,1.6,Mint CC,697,Nursing,67,Hated it
Chevrolet,Female,4,Mint CC,400,Nursing,67,Liked it
Nissan,Female,2,Cookie Dough,383,Business,62,Liked it
None,Female,5.9,Moose Tracks,800,Mathematics,68,Liked it
Audi,Male,3,Cookies and Cream,0,None,5,Loved it
