country,continent,year,density
Afghanistan,Asia,2011,50
Albania,Europe,2011,111
Algeria,Africa,2011,15
Andorra,Europe,2011,183
Angola,Africa,2011,16
Antigua and Barbuda,Caribbean,2011,199
Argentina,South America,2011,15
Armenia,Asia,2011,105
Australia,Pacific,2011,3
Austria,Europe,2011,100
Azerbaijan,Asia,2011,106
Bahamas,Caribbean,2011,26
Bahrain,Asia,2011,1925
Bangladesh,Asia,2011,1046
Barbados,Caribbean,2011,637
Belarus,Asia,2011,46
Belgium,Europe,2011,359
Belize,Central America,2011,14
Benin,Africa,2011,81
Bhutan,Asia,2011,15
Bolivia,South America,2011,9
Bosnia-Herzegovina,Europe,2011,75
Botswana,Africa,2011,3
Brazil,South America,2011,23
Brunei,Asia,2011,71
Bulgaria,Europe,2011,67
Burkina Faso,Africa,2011,62
Burundi,Africa,2011,367
Cambodia,Asia,2011,81
Cameroon,Africa,2011,42
Canada,North America,2011,3
Cape Verde,Africa,2011,123
Central African Republic,Africa,2011,8
Chad,Africa,2011,9
Channel Islands,Europe,2011,804
Chile,south America,2011,23
China,Asia,2011,141
Colombia,South America,2011,41
Comoros,Africa,2011,337
Congo,Africa,2011,12
"Congo, Dem. Rep. of",Africa,2011,29
Costa Rica,North America,2011,92
Cote d'Ivoire,Africa,2011,70
Croatia,Europe,2011,78
Cuba,Caribbean,2011,101
Cyprus,Europe,2011,120
Czech Republic,Europe,2011,134
Denmark,Europe,2011,129
Djibouti,Africa,2011,39
Dominica,Caribbean,2011,97
Dominican Republic,Caribbean,2011,206
Ecuador,South America,2011,52
Egypt,Africa,2011,83
El Salvador,Central America,2011,296
Equatorial Guinea,Africa,2011,26
Eritrea,Africa,2011,51
Estonia,Europe,2011,30
Ethiopia,Africa,2011,79
Federated States of Micronesia,Pacific,2011,145
Fiji,Pacific,2011,47
Finland,Europe,2011,16
France,Europe,2011,115
French Guiana,Africa,2011,3
French Polynesia,Pacific,2011,68
Gabon,Africa,2011,6
Gambia,Africa,2011,157
Georgia,Asia,2011,62
Germany,Europe,2011,229
Ghana,Africa,2011,105
Greece,Europe,2011,86
Grenada,Caribbean,2011,305
Guadeloupe,Caribbean,2011,238
Guam,Pacific,2011,350
Guatemala,South America,2011,135
Guinea,Africa,2011,42
Guinea-Bissau,Africa,2011,45
Guyana,South America,2011,4
Haiti,Caribbean,2011,365
Honduras,Central America,2011,69
