pay,spend,area
19583.00,3346,North
20263.00,3114,North
20325.00,3554,North
26800.00,4642,North
29470.00,4669,North
26610.00,4888,North
30678.00,5710,North
27170.00,5536,North
25853.00,4168,North
24500.00,3547,North
24274.00,3159,North
27170.00,3621,North
30168.00,3782,North
26525.00,4247,North
27360.00,3982,North
21690.00,3568,North
21974.00,3155,North
20816.00,3059,North
18095.00,2967,North
20939.00,3285,North
22644.00,3914,North
24624.00,4517,South
27186.00,4349,South
33990.00,5020,South
23382.00,3594,South
20627.00,2821,South
22795.00,3366,South
21570.00,2920,South
22080.00,2980,South
22250.00,3731,South
20940.00,2853,South
21800.00,2533,South
22934.00,2729,South
18443.00,2305,South
19538.00,2642,South
20460.00,3124,South
21419.00,2752,South
25160.00,3429,South
22482.00,3947,West
20969.00,2509,West
27224.00,5440,West
25892.00,4042,West
22644.00,3402,West
24640.00,2829,West
22341.00,2297,West
25610.00,2932,West
26015.00,3705,West
25788.00,4123,West
29132.00,3608,West
41480.00,8349,West
25845.00,3766,West
